,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
51,Gaffer,gchq,A large-scale entity and relation database supporting aggregation of properties,https://github.com/gchq/Gaffer,Java,2015-12-14T12:12:39Z,2024-09-30T12:43:04Z,1766,350,139,Apache License 2.0
52,aws-dbs-refarch-graph,aws-samples,Reference Architectures for Graph Databases on AWS,https://github.com/aws-samples/aws-dbs-refarch-graph,HTML,2018-12-24T19:37:00Z,2024-10-04T13:00:11Z,235,45,0,Other
53,vertexium,visallo,High-security graph database,https://github.com/visallo/vertexium,Java,2015-03-06T19:27:47Z,2024-08-30T16:34:44Z,62,34,34,Apache License 2.0
54,amazon-neptune-samples,aws-samples,Samples and documentation for using the Amazon Neptune graph database service,https://github.com/aws-samples/amazon-neptune-samples,JavaScript,2018-04-05T22:37:22Z,2024-10-03T17:43:14Z,355,141,15,MIT No Attribution
55,fullstack-graphql,atulmy,"🌈  Simple Fullstack GraphQL Application. API built with Express + GraphQL + Sequelize (supports MySQL, Postgres, Sqlite and MSSQL). WebApp built with React + Redux to access the API. Written in ES6 using Babel + Webpack.",https://github.com/atulmy/fullstack-graphql,JavaScript,2017-10-19T19:39:14Z,2024-09-17T08:05:05Z,1031,150,1,MIT License
56,bitsy,lambdazen,Bitsy Graph Database v3,https://github.com/lambdazen/bitsy,Java,2017-03-16T19:54:58Z,2024-09-27T01:27:34Z,139,22,6,Apache License 2.0
57,community,eldersantos,Neo4j Graph Database - Community Edition,https://github.com/eldersantos/community,Java,2011-04-25T16:39:03Z,2024-08-26T12:24:31Z,5,118,1,Other
58,redis-graph,swilly22,A graph database with Cypher query language as a Redis module,https://github.com/swilly22/redis-graph,C,2016-08-09T21:15:44Z,2024-08-31T17:54:56Z,409,26,12,GNU Affero General Public License v3.0
59,SliccDB,pmikstacki,Light Embedded Graph Database for .net ,https://github.com/pmikstacki/SliccDB,C#,2021-11-07T18:08:05Z,2024-10-02T11:08:45Z,132,14,2,MIT License
60,Samples,CosmicMind,"Sample projects using Material, Graph, and Algorithm. ",https://github.com/CosmicMind/Samples,Swift,2016-10-20T16:44:08Z,2024-09-10T15:01:51Z,402,263,7,"BSD 3-Clause ""New"" or ""Revised"" License"
61,degdb,degdb,degdb: distributed economic graph database,https://github.com/degdb/degdb,Go,2015-09-05T02:47:38Z,2024-06-13T18:01:31Z,217,21,8,MIT License
62,age,apache,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.,https://github.com/apache/age,C,2020-07-01T06:15:47Z,2024-10-06T09:59:26Z,3050,408,162,Apache License 2.0
63,cog,arun1729,Micro Graph Database for Python Applications,https://github.com/arun1729/cog,Python,2017-11-19T21:35:00Z,2024-10-06T00:22:45Z,297,23,6,MIT License
64,graphchiDB-scala,GraphChi,*Experimental* GraphChi-DB graph database with computational capabilities,https://github.com/GraphChi/graphchiDB-scala,Scala,2014-04-15T21:22:25Z,2023-04-12T13:50:42Z,79,24,0,
65,pacer,pangloss,My original graph database DSL machine,https://github.com/pangloss/pacer,Ruby,2010-11-15T23:11:47Z,2023-10-16T06:21:26Z,176,30,0,Other
66,AgensGraph-Extension,bitnine-oss,A graph database extension for PostgreSQL,https://github.com/bitnine-oss/AgensGraph-Extension,C,2019-01-09T04:46:53Z,2024-09-13T08:36:32Z,188,24,2,Apache License 2.0
67,cozo,cozodb,"A transactional, relational-graph-vector database that uses Datalog for query. The hippocampus for AI!",https://github.com/cozodb/cozo,Rust,2022-10-14T09:28:11Z,2024-10-06T03:47:12Z,3364,100,34,Mozilla Public License 2.0
68,openCypher,opencypher,Specification of the Cypher property graph query language,https://github.com/opencypher/openCypher,Gherkin,2015-02-06T09:35:42Z,2024-10-05T00:34:18Z,853,149,106,Apache License 2.0
69,graphql-gun,brysgo,A graphql API for the gun p2p graph database,https://github.com/brysgo/graphql-gun,JavaScript,2017-03-24T05:09:02Z,2024-09-15T22:28:51Z,405,20,24,
70,bulbs,espeed,"A Python persistence framework for graph databases like Neo4j, OrientDB and Titan.",https://github.com/espeed/bulbs,Python,2011-07-15T15:04:08Z,2024-07-09T09:43:03Z,622,83,51,Other
71,pygr,cjlee112,Python graph database framework for bioinformatics,https://github.com/cjlee112/pygr,Python,2009-05-01T02:46:20Z,2024-08-18T07:27:51Z,92,35,5,Other
72,memgraph,memgraph,"Open-source graph database, tuned for dynamic analytics environments. Easy to adopt, scale and own.",https://github.com/memgraph/memgraph,C++,2020-09-21T10:14:04Z,2024-10-06T13:19:47Z,2365,110,377,Other
73,gremlin,go-gremlin,Go graph database client for TinkerPop3 Gremlin Server,https://github.com/go-gremlin/gremlin,Go,2015-09-12T10:56:21Z,2024-06-24T00:55:18Z,115,54,8,MIT License
