,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
75,Dapper,DapperLib,Dapper - a simple object mapper for .Net,https://github.com/DapperLib/Dapper,C#,2011-04-14T08:42:59Z,2024-10-06T13:47:24Z,17494,3672,502,Other
76,SqlQueryStress,ErikEJ,SQL query stress simulator created by Adam Machanic http://dataeducation.com/sqlquerystress-the-source-code/,https://github.com/ErikEJ/SqlQueryStress,C#,2016-01-04T16:15:02Z,2024-10-01T13:56:09Z,921,231,2,MIT License
77,flinkStreamSQL,DTStack,基于开源的flink，对其实时sql进行扩展；主要实现了流与维表的join，支持原生flink SQL所有的语法,https://github.com/DTStack/flinkStreamSQL,Java,2018-09-12T05:51:37Z,2024-09-20T14:05:52Z,2020,926,88,Apache License 2.0
78,beekeeper-studio,beekeeper-studio,"Modern and easy to use SQL client for MySQL, Postgres, SQLite, SQL Server, and more. Linux, MacOS, and Windows.",https://github.com/beekeeper-studio/beekeeper-studio,TypeScript,2019-07-23T18:12:33Z,2024-10-06T12:32:53Z,16388,1068,681,Other
79,Learn-SQL,WebDevSimplified,Exercises for beginners to learn SQL,https://github.com/WebDevSimplified/Learn-SQL,,2018-11-15T00:31:27Z,2024-10-04T23:07:17Z,1363,671,19,
80,sql,nearform,SQL injection protection module,https://github.com/nearform/sql,JavaScript,2018-02-27T11:07:54Z,2024-09-29T09:56:47Z,216,58,2,Other
81,SQLite4Unity3d,robertohuertasm,SQLite made easy for Unity3d,https://github.com/robertohuertasm/SQLite4Unity3d,C#,2014-10-10T08:11:07Z,2024-10-06T16:05:59Z,1281,265,48,MIT License
82,pq,lib,Pure Go Postgres driver for database/sql,https://github.com/lib/pq,Go,2012-03-12T18:50:22Z,2024-10-05T22:54:43Z,9041,909,324,MIT License
83,SQL,charlottechz,SQL Portfolio,https://github.com/charlottechz/SQL,,2022-04-04T20:05:10Z,2024-07-13T18:43:47Z,52,102,0,
84,sql,Open-Bootcamp,Curso SQL de Open Bootcamp,https://github.com/Open-Bootcamp/sql,,2022-01-17T19:06:52Z,2024-08-12T13:33:36Z,176,61,0,
85,PHP-MySQLi-Database-Class,ThingEngineer,"Wrapper for a PHP MySQL class, which utilizes MySQLi and prepared statements. ",https://github.com/ThingEngineer/PHP-MySQLi-Database-Class,PHP,2010-10-23T15:19:38Z,2024-10-03T14:39:01Z,3296,1343,225,Other
