,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
74,2023-nosql-lsm,polis-vk,NoSQL project @ ITMO/polis.vk.education,https://github.com/polis-vk/2023-nosql-lsm,Java,2023-09-09T11:20:11Z,2024-04-22T00:59:39Z,3,77,14,Apache License 2.0
75,fluent-kit,vapor,"Swift ORM (queries, models, and relations) for NoSQL and SQL databases",https://github.com/vapor/fluent-kit,Swift,2019-02-11T23:32:26Z,2024-09-24T16:33:22Z,210,116,70,MIT License
76,unqlite-python,coleifer,Python bindings for the UnQLite embedded NoSQL database,https://github.com/coleifer/unqlite-python,C,2014-06-21T14:12:26Z,2024-09-19T06:05:17Z,389,33,0,MIT License
77,kundera,Impetus,A JPA 2.1 compliant Polyglot Object-Datastore Mapping Library for NoSQL Datastores.Please subscribe to: ,https://github.com/Impetus/kundera,Java,2011-05-06T13:57:57Z,2024-08-14T08:40:03Z,903,233,175,Apache License 2.0
78,nodejs-cloudant,IBM-Cloud,Sample Node.js application which uses Bluemix Cloudant NoSQL service,https://github.com/IBM-Cloud/nodejs-cloudant,JavaScript,2016-04-20T16:30:46Z,2022-10-31T20:01:30Z,20,180,3,Apache License 2.0
79,libromongodb,yograterol,Libro en Espanol sobre NoSQL y MongoDB,https://github.com/yograterol/libromongodb,TeX,2013-11-30T23:23:23Z,2024-09-03T13:08:52Z,84,47,2,
80,nodejs-firestore,googleapis,"Node.js client for Google Cloud Firestore: a NoSQL document database built for automatic scaling, high performance, and ease of application development.",https://github.com/googleapis/nodejs-firestore,JavaScript,2017-07-26T20:51:49Z,2024-10-05T01:29:12Z,642,149,109,Apache License 2.0
81,DensoDB,teamdev,DotNet NoSQL DataBase,https://github.com/teamdev/DensoDB,JavaScript,2012-04-03T17:24:26Z,2024-03-18T21:45:14Z,58,17,5,
82,iotdb,apache,Apache IoTDB,https://github.com/apache/iotdb,Java,2018-11-24T21:29:17Z,2024-10-05T18:23:36Z,5557,999,451,Apache License 2.0
83,java-client-api,marklogic,Java client for the MarkLogic enterprise NoSQL database,https://github.com/marklogic/java-client-api,Java,2014-03-11T19:06:59Z,2024-08-19T13:22:32Z,58,72,4,Apache License 2.0
84,RethinkDb.Driver,bchavez,:headphones: A NoSQL C#/.NET RethinkDB database driver with 100% ReQL API coverage.,https://github.com/bchavez/RethinkDb.Driver,C#,2015-08-19T18:54:14Z,2024-08-13T14:01:50Z,384,134,24,Other
85,pandas-ai,Sinaptik-AI,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.",https://github.com/Sinaptik-AI/pandas-ai,Python,2023-04-22T12:58:01Z,2024-10-06T16:17:59Z,12778,1235,101,Other
86,cassandradump,gianlucaborello,"A data exporting tool for Cassandra inspired from mysqldump, with some additional slice and dice capabilities",https://github.com/gianlucaborello/cassandradump,Python,2015-04-10T01:52:30Z,2024-09-21T19:23:46Z,205,81,9,GNU General Public License v2.0
87,weavedb,weavedb,WeaveDB - Decentralized NoSQL Database powered by Arweave,https://github.com/weavedb/weavedb,JavaScript,2022-06-25T00:13:27Z,2024-10-05T20:23:40Z,200,30,10,
