,Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
83,mldb,mldbai,MLDB is the Machine Learning Database,https://github.com/mldbai/mldb,C++,2015-12-08T16:34:16Z,2024-10-05T14:41:34Z,666,102,28,Apache License 2.0
84,Machine-Learning-Foundations-and-Techniques,WangYang-wy,Coursera 机器学习基石 机器学习技法 林轩田 课堂PPT、作业及课堂笔记。,https://github.com/WangYang-wy/Machine-Learning-Foundations-and-Techniques,,2018-01-12T09:55:50Z,2024-09-27T08:43:38Z,159,50,2,
85,MachineLearningNote,AlanConstantine,用python实现机器学习各种经典算法,https://github.com/AlanConstantine/MachineLearningNote,Jupyter Notebook,2018-05-02T04:06:25Z,2024-03-25T02:21:36Z,39,31,0,MIT License
86,awesome-machine-learning-robotics,Phylliade,A curated list of resources about Machine Learning for Robotics,https://github.com/Phylliade/awesome-machine-learning-robotics,,2017-06-06T15:38:41Z,2024-10-05T16:00:13Z,191,36,0,
87,Ensemble-Machine-Learning-Cookbook,PacktPublishing,"Ensemble Machine Learning Cookbook, published by Packt",https://github.com/PacktPublishing/Ensemble-Machine-Learning-Cookbook,Jupyter Notebook,2019-01-25T10:55:09Z,2024-09-24T07:30:09Z,57,61,1,MIT License
88,ramp,kvh,Rapid Machine Learning Prototyping in Python,https://github.com/kvh/ramp,Python,2012-05-04T08:22:19Z,2024-07-27T05:11:44Z,651,98,0,MIT License
89,js-ml-workshop,jctillman,A javascript machine learning tutorial.,https://github.com/jctillman/js-ml-workshop,JavaScript,2015-06-28T13:01:38Z,2024-01-03T15:45:04Z,47,215,1,
90,Machine-Learning-101,muhammadanas0716,"Data Science, Machine Learning, and Deep Learning. Projects, Tutorials and Cheatsheets.",https://github.com/muhammadanas0716/Machine-Learning-101,Jupyter Notebook,2022-08-28T14:22:59Z,2024-07-09T21:19:31Z,168,30,8,MIT License
91,Buku-Machine-Learning,diazzzz,,https://github.com/diazzzz/Buku-Machine-Learning,Jupyter Notebook,2021-10-08T17:20:53Z,2024-08-17T13:48:03Z,66,46,1,
92,Coursera-DeepLearning.AI-Stanford-University-Machine-Learning-Specialization,shantanu1109,"This Repository contains Solutions to the Quizes & Lab Assignments of the Machine Learning Specialization (2022) from Deeplearning.AI on Coursera taught by Andrew Ng, Eddy Shyu, Aarti Bagul, Geoff Ladwig.",https://github.com/shantanu1109/Coursera-DeepLearning.AI-Stanford-University-Machine-Learning-Specialization,Jupyter Notebook,2022-07-26T10:15:08Z,2024-10-05T15:02:36Z,105,64,0,MIT License
93,MLOps,raminmohammadi,Machine Learning In Production (MLOps),https://github.com/raminmohammadi/MLOps,Jupyter Notebook,2023-09-11T13:40:44Z,2024-09-29T20:06:26Z,67,189,6,Creative Commons Zero v1.0 Universal
94,hyperparameter-optimization,WillKoehrsen,Implementation of Bayesian Hyperparameter Optimization of Machine Learning Algorithms,https://github.com/WillKoehrsen/hyperparameter-optimization,Jupyter Notebook,2018-06-22T20:38:48Z,2024-10-05T07:33:21Z,620,325,5,
95,handson-ml3,ageron,"A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.",https://github.com/ageron/handson-ml3,Jupyter Notebook,2022-02-19T09:43:22Z,2024-10-06T08:02:18Z,7479,3016,101,Apache License 2.0
96,resolving-machine-learning-python,jsulopzs,,https://github.com/jsulopzs/resolving-machine-learning-python,Jupyter Notebook,2022-03-05T20:48:57Z,2024-09-21T16:00:56Z,94,49,0,MIT License
97,MachineLearningDOC,taylorlu,图像、人脸、OCR、语音相关算法整理,https://github.com/taylorlu/MachineLearningDOC,,2019-02-22T01:54:24Z,2024-09-11T06:19:31Z,64,25,0,
98,Java-Machine-Learning-for-Computer-Vision,PacktPublishing,"Java Machine Learning for Computer Vision [Video], Published By Packt",https://github.com/PacktPublishing/Java-Machine-Learning-for-Computer-Vision,Java,2018-03-07T11:11:37Z,2024-10-02T04:41:22Z,86,82,4,MIT License
99,machine-learning-with-python-logistic-regression-3211129,LinkedInLearning,This is a LinkedIn Learning repo for Machine Learning with Python: Logistic Regeression.,https://github.com/LinkedInLearning/machine-learning-with-python-logistic-regression-3211129,,2022-06-30T21:02:10Z,2024-09-23T13:22:44Z,15,231,5,Other
100,MachineLearningTutorial,SpikeKing,机器学习笔记,https://github.com/SpikeKing/MachineLearningTutorial,Python,2018-04-04T08:23:44Z,2023-08-28T03:11:52Z,42,34,1,
101,machine_learning_and_neuroscience,llSourcell,"This is the code for ""Machine Learning & Neuroscience"" By Siraj Raval on Youtube",https://github.com/llSourcell/machine_learning_and_neuroscience,JavaScript,2018-02-08T03:53:56Z,2024-07-06T02:51:09Z,129,51,0,GNU General Public License v2.0
102,Disease-Prediction-using-Django-and-machine-learning,anuj-glitch,**A end to end project - Powered by Django and Machine Learning**  - This project aims to provide a web platform to predict the occurrences of disease on the basis of various symptoms. The user can select various symptoms and can find the diseases and consult to the doctor online.,https://github.com/anuj-glitch/Disease-Prediction-using-Django-and-machine-learning,CSS,2020-01-09T12:23:50Z,2024-10-04T11:45:32Z,259,77,16,Apache License 2.0
103,MLBox,AxeldeRomblay,MLBox is a powerful Automated Machine Learning python library. ,https://github.com/AxeldeRomblay/MLBox,Python,2017-06-01T16:59:24Z,2024-10-03T04:06:37Z,1493,274,29,Other
104,machine-learning-implemetation-python,bamtak,Basic Machine Learning implementation with python,https://github.com/bamtak/machine-learning-implemetation-python,Jupyter Notebook,2019-11-28T18:07:14Z,2024-09-14T17:51:23Z,100,56,0,
105,machine-learning,ImagingInformatics,Repository for activities of the machine learning committee,https://github.com/ImagingInformatics/machine-learning,Jupyter Notebook,2017-04-18T15:56:31Z,2024-09-18T16:01:18Z,65,40,1,
106,machine_learning_code,Wasim37,机器学习与深度学习算法示例,https://github.com/Wasim37/machine_learning_code,Jupyter Notebook,2017-11-27T14:43:27Z,2024-07-10T09:08:12Z,98,43,0,
107,PythonForMachineLearning,anikannal,This is a repository for the Python For Machine Learning Course on xcelerator,https://github.com/anikannal/PythonForMachineLearning,Jupyter Notebook,2020-04-07T04:09:27Z,2022-05-07T10:31:06Z,12,136,0,Apache License 2.0
108,DL-ML-project,roguesir,Deep Learning and Machine Learning project,https://github.com/roguesir/DL-ML-project,Python,2017-07-15T04:33:56Z,2024-09-16T08:28:00Z,118,95,2,
109,Machine-Learning,anubhavshrimal,"The projects I do in Machine Learning with PyTorch, keras, Tensorflow, scikit learn and Python.",https://github.com/anubhavshrimal/Machine-Learning,Jupyter Notebook,2017-05-13T16:41:49Z,2024-10-05T20:06:13Z,119,31,0,MIT License
110,machine-learning-example,ruohaiweb,,https://github.com/ruohaiweb/machine-learning-example,Jupyter Notebook,2021-05-22T15:26:41Z,2024-09-25T12:31:09Z,68,50,0,Apache License 2.0
111,machine-learning-exercises,zzlyw,The exercises about machine learning course.,https://github.com/zzlyw/machine-learning-exercises,Matlab,2017-10-26T03:45:56Z,2024-05-20T04:52:58Z,118,39,0,
112,caret-machine-learning,tobigithub,Practical examples for the R caret machine learning package,https://github.com/tobigithub/caret-machine-learning,R,2015-11-03T18:47:53Z,2024-08-24T23:42:18Z,67,50,36,MIT License
113,machine-learning-projects,anooshac,,https://github.com/anooshac/machine-learning-projects,Python,2016-06-21T21:26:30Z,2023-10-09T10:14:28Z,61,52,3,
114,suiron,kendricktan,Machine Learning for RC Cars,https://github.com/kendricktan/suiron,Python,2016-09-13T14:44:18Z,2024-09-07T08:47:56Z,705,78,3,MIT License
115,moviebox,klaudiosinani,Machine learning movie recommending system,https://github.com/klaudiosinani/moviebox,Python,2018-01-23T20:37:19Z,2024-09-23T14:20:54Z,524,55,4,MIT License
116,NakedTensor,jostmey,Bare bone examples of machine learning in TensorFlow,https://github.com/jostmey/NakedTensor,Python,2016-09-08T16:49:07Z,2024-05-20T04:14:34Z,2424,146,1,Apache License 2.0
117,machine_learning_examples,nithyadurai87,machine_learning_examples,https://github.com/nithyadurai87/machine_learning_examples,HTML,2018-11-10T06:04:16Z,2024-09-01T11:13:01Z,69,49,1,
118,machine_learning_economics,sekhansen,Machine Learning for Economics,https://github.com/sekhansen/machine_learning_economics,Jupyter Notebook,2018-10-10T15:30:06Z,2024-08-24T13:23:50Z,83,46,0,
